strategy_id,side,entry_family,entry_description,entry_params,exit_id,exit_mode,tp_atr,sl_atr,tp_pct,sl_pct,tp2_pct,leg1_fraction,trail_pct,confirm_bars,time_stop_bars,coverage_grade,result_grade,universe_size,eligible_symbols,opportunity_symbols,traded_symbols,traded_over_eligible,traded_over_opportunity,top_symbol_share,top_5_symbol_share,unique_days,train_traded_symbols,dev_traded_symbols,final_holdout_traded_symbols,raw_trades,raw_mean_pct,raw_wr,monthly,sum_return_pct,train_mean_pct,train_wr,dev_mean_pct,dev_wr,final_holdout_mean_pct,final_holdout_wr,portfolio_5_max_dd_pct,portfolio_5_sum_pct,portfolio_5_closed_trades,portfolio_10_max_dd_pct,portfolio_10_sum_pct,portfolio_10_closed_trades,with_bwe_trades,with_bwe_mean_pct,with_bwe_wr,bwe_dependent,paper_id,manifest_strategy_id,signals_replayed,manifest_raw_trades,manifest_raw_mean_pct,manifest_final_holdout_mean_pct
L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C3"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 3.0, ""period_cap"": 3, ""period_days"": 30, ""picks_per_symbol_train_dev"": 3, ""selected_symbols"": 125, ""target_pct"": 8.0}",trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,50.0,0.25,8.0,1,1440,strong-general,CANDIDATE,498,498,125,125,0.25100401606425704,1.0,0.008,0.04,25,114,44,1,375,6.976485729217529,0.8693333333333333,362.4647603705195,2616.18212890625,7.444772720336914,0.8805460750853242,5.171764373779297,0.825,10.56121826171875,1.0,-14.858509197912518,625.1342647224665,117,-11.99391413260792,1115.6208537220955,179,0,0.0,0.0,False,V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,390,375,6.976485729217529,10.56121826171875
L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.15_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C3"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 3.0, ""period_cap"": 3, ""period_days"": 30, ""picks_per_symbol_train_dev"": 3, ""selected_symbols"": 125, ""target_pct"": 8.0}",trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.15_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,50.0,0.15,8.0,1,1440,strong-general,CANDIDATE,498,498,125,125,0.25100401606425704,1.0,0.008,0.04,25,114,44,1,375,7.035322189331055,0.8693333333333333,362.4647603705195,2638.245849609375,7.520802974700928,0.8805460750853242,5.160745620727539,0.825,10.895492553710938,1.0,-15.166263387874357,625.7451239973307,117,-12.042879452861289,1127.8649641871452,179,0,0.0,0.0,False,V8P_LONG_02,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.15_c1_t1440,390,375,7.035322189331055,10.895492553710938
L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C3"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 3.0, ""period_cap"": 3, ""period_days"": 30, ""picks_per_symbol_train_dev"": 3, ""selected_symbols"": 125, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.25,8.0,1,1440,strong-general,CANDIDATE,498,498,125,125,0.25100401606425704,1.0,0.008,0.04,25,114,44,1,375,7.139644622802734,0.8693333333333333,362.4647603705195,2677.36669921875,7.657553195953369,0.8805460750853242,5.157266139984131,0.825,10.56121826171875,1.0,-14.858509197912518,638.3266399055719,117,-11.993914132607909,1143.0764444470406,181,0,0.0,0.0,False,V8P_LONG_03,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,390,375,7.139644622802734,10.56121826171875
L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.1_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C3"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 3.0, ""period_cap"": 3, ""period_days"": 30, ""picks_per_symbol_train_dev"": 3, ""selected_symbols"": 125, ""target_pct"": 8.0}",trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.1_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,50.0,0.1,8.0,1,1440,strong-general,CANDIDATE,498,498,125,125,0.25100401606425704,1.0,0.008,0.04,25,114,44,1,375,7.06473970413208,0.8693333333333333,362.4647603705195,2649.27734375,7.558816909790039,0.8805460750853242,5.15523624420166,0.825,11.062629699707031,1.0,-15.320140097186796,626.0505246669054,117,-12.067362503056644,1133.986958861351,179,0,0.0,0.0,False,V8P_LONG_04,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.1_c1_t1440,390,375,7.06473970413208,11.062629699707031
L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C3"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 3.0, ""period_cap"": 3, ""period_days"": 30, ""picks_per_symbol_train_dev"": 3, ""selected_symbols"": 125, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.15,8.0,1,1440,strong-general,CANDIDATE,498,498,125,125,0.25100401606425704,1.0,0.008,0.04,25,114,44,1,375,7.220235824584961,0.8693333333333333,362.4647603705195,2707.58837890625,7.761952877044678,0.8805460750853242,5.144314289093018,0.825,10.895492553710938,1.0,-15.166263387874357,640.696486607194,117,-12.042879452861289,1156.7945584654808,181,0,0.0,0.0,False,V8P_LONG_05,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,390,375,7.220235824584961,10.895492553710938
L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.1_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C2"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 2.0, ""period_cap"": 2, ""period_days"": 30, ""picks_per_symbol_train_dev"": 2, ""selected_symbols"": 175, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.1_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,8.0,30.0,0.1,8.0,1,1440,strong-general,CANDIDATE,498,498,175,175,0.3514056224899598,1.0,0.0057306590257879654,0.02865329512893983,25,153,57,1,349,5.925386905670166,0.7621776504297995,337.3338703181635,2067.9599609375,6.489731788635254,0.7843866171003717,3.847395181655884,0.6794871794871795,11.062629699707031,1.0,-19.4500504499899,607.4604699313641,127,-21.403820413950246,1032.90387737751,201,0,0.0,0.0,False,V8P_LONG_06,L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.1_c1_t1440,361,349,5.925386905670166,11.062629699707031
L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.15_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C2"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 2.0, ""period_cap"": 2, ""period_days"": 30, ""picks_per_symbol_train_dev"": 2, ""selected_symbols"": 175, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.15_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,8.0,30.0,0.15,8.0,1,1440,strong-general,CANDIDATE,498,498,175,175,0.3514056224899598,1.0,0.0057306590257879654,0.02865329512893983,25,153,57,1,349,5.867331504821777,0.7621776504297995,337.3338703181635,2047.69873046875,6.423096656799316,0.7843866171003717,3.8217241764068604,0.6794871794871795,10.895492553710938,1.0,-19.145305774054002,601.1294868886471,127,-21.17294415648875,1019.519016802311,201,0,0.0,0.0,False,V8P_LONG_07,L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.15_c1_t1440,361,349,5.867331504821777,10.895492553710938
L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.1_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C2"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 2.0, ""period_cap"": 2, ""period_days"": 30, ""picks_per_symbol_train_dev"": 2, ""selected_symbols"": 175, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.1_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.1,8.0,1,1440,strong-general,CANDIDATE,498,498,175,175,0.3514056224899598,1.0,0.0057306590257879654,0.02865329512893983,25,153,57,1,349,6.008433818817139,0.7650429799426934,337.3338703181635,2096.943359375,6.61360502243042,0.7881040892193308,3.791776657104492,0.6794871794871795,11.062629699707031,1.0,-16.59156759979562,634.2313453257084,124,-16.420283645683842,1056.5450993925333,197,0,0.0,0.0,False,V8P_LONG_08,L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.1_c1_t1440,361,349,6.008433818817139,11.062629699707031
L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.25_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C2"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 2.0, ""period_cap"": 2, ""period_days"": 30, ""picks_per_symbol_train_dev"": 2, ""selected_symbols"": 175, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.25_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,8.0,30.0,0.25,8.0,1,1440,strong-general,CANDIDATE,498,498,175,175,0.3514056224899598,1.0,0.0057306590257879654,0.02865329512893983,25,153,57,1,349,5.751219272613525,0.7621776504297995,337.3338703181635,2007.175537109375,6.2898268699646,0.7843866171003717,3.7703821659088135,0.6794871794871795,10.56121826171875,1.0,-18.535346018776266,588.467450350523,127,-20.71119164156574,992.7491800189018,201,0,0.0,0.0,False,V8P_LONG_09,L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl8.0_tr8.0_f0.25_c1_t1440,361,349,5.751219272613525,10.56121826171875
L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,long,long_live_aligned_symbol_quota_filter,,"{""adverse_floor"": -4.0, ""diversity_tag"": ""P30C2"", ""filter_tag"": ""ALL"", ""horizon_bars"": 288, ""model_epochs"": 32, ""model_seed"": 1706, ""monthly_per_symbol"": 2.0, ""period_cap"": 2, ""period_days"": 30, ""picks_per_symbol_train_dev"": 2, ""selected_symbols"": 175, ""target_pct"": 8.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.15,8.0,1,1440,strong-general,CANDIDATE,498,498,175,175,0.3514056224899598,1.0,0.0057306590257879654,0.02865329512893983,25,153,57,1,349,5.950379371643066,0.7650429799426934,337.3338703181635,2076.682373046875,6.546970367431641,0.7881040892193308,3.7661051750183105,0.6794871794871795,10.895492553710938,1.0,-16.310396397146153,628.3449938595295,124,-16.420283645683853,1043.084364488721,197,0,0.0,0.0,False,V8P_LONG_10,L_LIVEF_T8_A4_S1706_SEL175_MPS2_ALL_P30C2__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.15_c1_t1440,361,349,5.950379371643066,10.895492553710938
S_PREMOON_T5_A8_MW0.9_MPS1_P1_SEL190_min_funding_z0.35_min_oi60_z-0.2_min_ret60_z1_XP60__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,short,short_premoon_hybrid_model,,"{""adverse_floor"": -8.0, ""extra_pick_symbols"": 60.0, ""horizon_bars"": 288.0, ""min_funding_z"": 0.35, ""min_oi60_z"": -0.2, ""min_ret60_z"": 1.0, ""model_weight"": 0.9, ""monthly_per_symbol"": 1.0, ""picks_per_symbol_train_dev"": 1.0, ""requested_extra_pick_symbols"": 60.0, ""selected_symbols"": 190.0, ""target_pct"": 5.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.25,8.0,1,1440,strong-general,NEAR-MISS,498,498,190,190,0.3815261044176707,1.0,0.19495412844036697,0.3256880733944954,29,152,36,21,436,3.4258127212524414,0.7408256880733946,421.425694724124,1493.654296875,6.405965805053711,0.9253731343283582,5.987269878387451,0.9302325581395349,-0.2676943838596344,0.5052083333333334,-22.799113401285886,665.3364537060261,131,-24.800501941371145,1013.812611952424,188,20,4.76426362991333,0.8,False,V8P_SHORT_01,S_PREMOON_T5_A8_MW0.9_MPS1_P1_SEL190_min_funding_z0.35_min_oi60_z-0.2_min_ret60_z1_XP60__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,457,319,6.116657257080078,5.81589937210083
S_PREMOON_T5_A8_MW0.9_MPS1_P1_SEL190_min_funding_z0.35_min_oi60_z0_min_ret60_z1_XP60__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,short,short_premoon_hybrid_model,,"{""adverse_floor"": -8.0, ""extra_pick_symbols"": 60.0, ""horizon_bars"": 288.0, ""min_funding_z"": 0.35, ""min_oi60_z"": 0.0, ""min_ret60_z"": 1.0, ""model_weight"": 0.9, ""monthly_per_symbol"": 1.0, ""picks_per_symbol_train_dev"": 1.0, ""requested_extra_pick_symbols"": 60.0, ""selected_symbols"": 190.0, ""target_pct"": 5.0}",trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,scaleout_trail_pct,0.0,0.0,8.0,10.0,30.0,0.25,8.0,1,1440,strong-general,NEAR-MISS,498,498,190,190,0.3815261044176707,1.0,0.195852534562212,0.3225806451612903,29,152,36,21,434,3.3547463417053223,0.7419354838709677,419.4925493354812,1455.9599609375,6.385253429412842,0.9306930693069307,5.9180779457092285,0.9285714285714286,-0.43379154801368713,0.5,-22.799113401285886,672.945748001337,131,-24.800501941371166,1023.2355058342218,189,20,4.76426362991333,0.8,False,V8P_SHORT_02,S_PREMOON_T5_A8_MW0.9_MPS1_P1_SEL190_min_funding_z0.35_min_oi60_z0_min_ret60_z1_XP60__trail_tp8.0_tp230.0_sl10.0_tr8.0_f0.25_c1_t1440,434,318,6.106749534606934,5.693279266357422
